"";"comuna";"cut_comuna";"region";"cut_region";"año";"pais";"n";"residencia";"estado"
"257";"Cerro Navia";13103;"Metropolitana de Santiago";13;2023;"Argentina";10;"Temporal";"Otorgadas"
"258";"Cerro Navia";13103;"Metropolitana de Santiago";13;2023;"Bolivia";24;"Temporal";"Otorgadas"
"259";"Cerro Navia";13103;"Metropolitana de Santiago";13;2023;"Colombia";126;"Temporal";"Otorgadas"
"260";"Cerro Navia";13103;"Metropolitana de Santiago";13;2023;"Ecuador";44;"Temporal";"Otorgadas"
"261";"Cerro Navia";13103;"Metropolitana de Santiago";13;2023;"Estados Unidos";1;"Temporal";"Otorgadas"
"262";"Cerro Navia";13103;"Metropolitana de Santiago";13;2023;"Haití";39;"Temporal";"Otorgadas"
"263";"Cerro Navia";13103;"Metropolitana de Santiago";13;2023;"México";2;"Temporal";"Otorgadas"
"264";"Cerro Navia";13103;"Metropolitana de Santiago";13;2023;"Nicaragua";1;"Temporal";"Otorgadas"
"265";"Cerro Navia";13103;"Metropolitana de Santiago";13;2023;"Paraguay";7;"Temporal";"Otorgadas"
"266";"Cerro Navia";13103;"Metropolitana de Santiago";13;2023;"Perú";167;"Temporal";"Otorgadas"
"267";"Cerro Navia";13103;"Metropolitana de Santiago";13;2023;"República Dominicana";8;"Temporal";"Otorgadas"
"268";"Cerro Navia";13103;"Metropolitana de Santiago";13;2023;"Venezuela";85;"Temporal";"Otorgadas"
"269";"Chaitén";10401;"Los Lagos";10;2023;"Argentina";1;"Temporal";"Otorgadas"
"270";"Chaitén";10401;"Los Lagos";10;2023;"Perú";1;"Temporal";"Otorgadas"
"271";"Chaitén";10401;"Los Lagos";10;2023;"Venezuela";1;"Temporal";"Otorgadas"
"272";"Chanco";7202;"Maule";7;2023;"Perú";4;"Temporal";"Otorgadas"
