cut_comuna;comuna;cut_region;region;opciones;votos
6108;Machalí;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;185
6108;Machalí;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;542
6109;Malloa;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;3157
6109;Malloa;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;8390
6109;Malloa;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;81
6109;Malloa;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;134
6110;Mostazal;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;7521
6110;Mostazal;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;12132
6110;Mostazal;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;138
6110;Mostazal;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;330
6111;Olivar;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;3414
6111;Olivar;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;8092
6111;Olivar;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;92
6111;Olivar;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;218
6114;Quinta de Tilcoco;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;3758
6114;Quinta de Tilcoco;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;7521
6114;Quinta de Tilcoco;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;102
6114;Quinta de Tilcoco;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;170
6101;Rancagua;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;68051
6101;Rancagua;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;104817
6101;Rancagua;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;855
6101;Rancagua;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;2845
6115;Rengo;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;15343
6115;Rengo;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;29348
