"";"pais";"año";"estimacion";"cut_comuna";"comuna";"cut_region";"region"
"532";"ITALIA";"2022";21;13124;"Pudahuel";13;"Metropolitana de Santiago"
"533";"ITALIA";"2022";62;13201;"Puente Alto";13;"Metropolitana de Santiago"
"534";"ITALIA";"2022";15;13125;"Quilicura";13;"Metropolitana de Santiago"
"535";"ITALIA";"2022";31;13126;"Quinta Normal";13;"Metropolitana de Santiago"
"536";"ITALIA";"2022";28;13127;"Recoleta";13;"Metropolitana de Santiago"
"537";"ITALIA";"2022";33;13401;"San Bernardo";13;"Metropolitana de Santiago"
"538";"ITALIA";"2022";32;13129;"San Joaquín";13;"Metropolitana de Santiago"
"539";"ITALIA";"2022";62;13130;"San Miguel";13;"Metropolitana de Santiago"
"540";"ITALIA";"2022";352;13101;"Santiago";13;"Metropolitana de Santiago"
"541";"ITALIA";"2022";170;13132;"Vitacura";13;"Metropolitana de Santiago"
"542";"ITALIA";"2022";196;13120;"Ñuñoa";13;"Metropolitana de Santiago"
"543";"ITALIA";"2022";6;1107;"Alto Hospicio";1;"Tarapacá"
"544";"ITALIA";"2022";28;1101;"Iquique";1;"Tarapacá"
"545";"ITALIA";"2022";106;5101;"Valparaíso";5;"Valparaíso"
"546";"ITALIA";"2022";197;5109;"Viña del Mar";5;"Valparaíso"
"547";"MÉXICO";"2022";140;2101;"Antofagasta";2;"Antofagasta"
"548";"MÉXICO";"2022";63;2201;"Calama";2;"Antofagasta"
"549";"MÉXICO";"2022";52;15101;"Arica";15;"Arica y Parinacota"
"550";"MÉXICO";"2022";24;3101;"Copiapó";3;"Atacama"
"551";"MÉXICO";"2022";127;8101;"Concepción";8;"Biobío"
"552";"MÉXICO";"2022";50;4102;"Coquimbo";4;"Coquimbo"
"553";"MÉXICO";"2022";56;4101;"La Serena";4;"Coquimbo"
"554";"MÉXICO";"2022";124;9101;"Temuco";9;"La Araucanía"
"555";"MÉXICO";"2022";53;6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins"
"556";"MÉXICO";"2022";82;10101;"Puerto Montt";10;"Los Lagos"
"557";"MÉXICO";"2022";35;7301;"Curicó";7;"Maule"
"558";"MÉXICO";"2022";69;7101;"Talca";7;"Maule"
"559";"MÉXICO";"2022";14;13103;"Cerro Navia";13;"Metropolitana de Santiago"
"560";"MÉXICO";"2022";207;13301;"Colina";13;"Metropolitana de Santiago"
"561";"MÉXICO";"2022";23;13104;"Conchalí";13;"Metropolitana de Santiago"
"562";"MÉXICO";"2022";54;13106;"Estación Central";13;"Metropolitana de Santiago"
"563";"MÉXICO";"2022";40;13108;"Independencia";13;"Metropolitana de Santiago"
"564";"MÉXICO";"2022";37;13109;"La Cisterna";13;"Metropolitana de Santiago"
"565";"MÉXICO";"2022";134;13110;"La Florida";13;"Metropolitana de Santiago"
"566";"MÉXICO";"2022";905;13114;"Las Condes";13;"Metropolitana de Santiago"
"567";"MÉXICO";"2022";373;13115;"Lo Barnechea";13;"Metropolitana de Santiago"
"568";"MÉXICO";"2022";15;13117;"Lo Prado";13;"Metropolitana de Santiago"
"569";"MÉXICO";"2022";62;13118;"Macul";13;"Metropolitana de Santiago"
"570";"MÉXICO";"2022";116;13119;"Maipú";13;"Metropolitana de Santiago"
"571";"MÉXICO";"2022";23;13501;"Melipilla";13;"Metropolitana de Santiago"
"572";"MÉXICO";"2022";102;13122;"Peñalolén";13;"Metropolitana de Santiago"
"573";"MÉXICO";"2022";499;13123;"Providencia";13;"Metropolitana de Santiago"
"574";"MÉXICO";"2022";57;13124;"Pudahuel";13;"Metropolitana de Santiago"
"575";"MÉXICO";"2022";113;13201;"Puente Alto";13;"Metropolitana de Santiago"
"576";"MÉXICO";"2022";48;13125;"Quilicura";13;"Metropolitana de Santiago"
"577";"MÉXICO";"2022";36;13126;"Quinta Normal";13;"Metropolitana de Santiago"
"578";"MÉXICO";"2022";57;13127;"Recoleta";13;"Metropolitana de Santiago"
"579";"MÉXICO";"2022";55;13401;"San Bernardo";13;"Metropolitana de Santiago"
"580";"MÉXICO";"2022";27;13129;"San Joaquín";13;"Metropolitana de Santiago"
"581";"MÉXICO";"2022";83;13130;"San Miguel";13;"Metropolitana de Santiago"
"582";"MÉXICO";"2022";701;13101;"Santiago";13;"Metropolitana de Santiago"
"583";"MÉXICO";"2022";245;13132;"Vitacura";13;"Metropolitana de Santiago"
"584";"MÉXICO";"2022";298;13120;"Ñuñoa";13;"Metropolitana de Santiago"
"585";"MÉXICO";"2022";33;1107;"Alto Hospicio";1;"Tarapacá"
"586";"MÉXICO";"2022";50;1101;"Iquique";1;"Tarapacá"
"587";"MÉXICO";"2022";153;5101;"Valparaíso";5;"Valparaíso"
"588";"MÉXICO";"2022";221;5109;"Viña del Mar";5;"Valparaíso"
"589";"OTRO PAÍS";"2022";721;2101;"Antofagasta";2;"Antofagasta"
"590";"OTRO PAÍS";"2022";171;2201;"Calama";2;"Antofagasta"
"591";"OTRO PAÍS";"2022";275;15101;"Arica";15;"Arica y Parinacota"
"592";"OTRO PAÍS";"2022";237;3101;"Copiapó";3;"Atacama"
"593";"OTRO PAÍS";"2022";634;8101;"Concepción";8;"Biobío"
"594";"OTRO PAÍS";"2022";251;4102;"Coquimbo";4;"Coquimbo"
"595";"OTRO PAÍS";"2022";465;4101;"La Serena";4;"Coquimbo"
"596";"OTRO PAÍS";"2022";372;9101;"Temuco";9;"La Araucanía"
"597";"OTRO PAÍS";"2022";295;6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins"
